,om,subtype,z-index,angle,conv-angle
630,A0,R1,-3255.0,1.1,0.019198621771937627
631,A0,R1,-3102.0,14.7,0.2565634000431664
632,A0,R1,-2949.0,3.9,0.06806784082777885
633,A0,R1,-2796.0,31.6,0.5515240436302081
634,A0,R1,-2643.0,36.9,0.6440264939859076
635,A0,R1,-2490.0,16.9,0.29496064358704166
636,A0,R1,-2337.0,4.3,0.07504915783575616
637,A0,R1,-2184.0,4.3,0.07504915783575616
638,A0,R1,-2031.0,4.3,0.07504915783575616
639,A0,R1,-1878.0,-3.9,3.073524812762014
640,A0,R2,-3195.0,90.5,1.5795229730548683
641,A0,R2,-2982.0,99.1,1.7296212887263804
642,A0,R2,-2769.0,33.2,0.5794493116621174
643,A0,R2,-2556.0,7.7,0.13439035240356337
644,A0,R2,-2343.0,3.9,0.06806784082777885
645,A0,R2,-2130.0,6.8,0.11868238913561441
646,A0,R2,-1917.0,6.8,0.11868238913561441
647,A0,R2,-1704.0,1.4,0.024434609527920613
648,A0,R2,-1491.0,31.1,0.5427973973702365
649,A0,R2,-1278.0,28.2,0.4921828490624009
650,A0,R3,-3248.0,90.7,1.583013631558857
651,A0,R3,-3047.0,99.4,1.7348572764823638
652,A0,R3,-2846.0,159.6,2.78554548618295
653,A0,R3,-2645.0,136.1,2.3753931119642826
654,A0,R3,-2444.0,122.7,2.1415189921970423
655,A0,R3,-2243.0,119.8,2.090904443889207
656,A0,R3,-2042.0,113.1,1.9739673840055867
657,A0,R3,-1841.0,113.1,1.9739673840055867
658,A0,R3,-1640.0,101.4,1.7697638615222502
659,A0,R3,-1439.0,116.4,2.0315632493213998
670,A0,R4,-3266.0,-148.0,0.5585053606381855
671,A0,R4,-3075.0,-160.3,0.34382986264288273
672,A0,R4,-2884.0,-170.4,0.16755160819145554
673,A0,R4,-2693.0,-146.5,0.5846852994181004
674,A0,R4,-2502.0,-157.9,0.38571776469074676
675,A0,R4,-2311.0,-170.4,0.16755160819145554
676,A0,R4,-2120.0,-177.6,0.04188790204786401
677,A0,R4,-1929.0,-171.2,0.1535889741755012
678,A0,R4,-1738.0,-174.7,0.09250245035569966
679,A0,R4,-1547.0,-158.3,0.3787364476827693
680,A0,R5,-3254.0,-83.8,1.6790067404185451
681,A0,R5,-3021.0,-92.1,1.5341444125030157
682,A0,R5,-2788.0,-157.3,0.3961897402027126
683,A0,R5,-2555.0,-154.9,0.4380776422505766
684,A0,R5,-2322.0,-172.2,0.1361356816555579
685,A0,R5,-2089.0,-172.2,0.1361356816555579
686,A0,R5,-1856.0,-176.7,0.05759586531581307
687,A0,R5,-1623.0,-169.7,0.17976891295541614
688,A0,R5,-1390.0,-174.3,0.09948376736367659
689,A0,R5,-1157.0,154.2,2.691297706575256
690,A0,R6,-3298.0,-90.3,1.5655603390389137
691,A0,R6,-3134.0,-90.3,1.5655603390389137
692,A0,R6,-2970.0,-90.3,1.5655603390389137
693,A0,R6,-2806.0,-81.0,1.7278759594743862
694,A0,R6,-2642.0,-67.2,1.9687313962496036
695,A0,R6,-2478.0,-72.4,1.8779742751458985
696,A0,R6,-2314.0,-92.4,1.5289084247470326
697,A0,R6,-2150.0,-99.0,1.413716694115407
698,A0,R6,-1986.0,-107.0,1.2740903539558606
699,A0,R6,-1822.0,-109.1,1.2374384396639797
700,A0,R7,-3338.0,0.0,0.0
701,A0,R7,-3173.0,-5.6,3.043854215478111
702,A0,R7,-3008.0,-3.9,3.073524812762014
703,A0,R7,-2843.0,-12.1,2.9304078140984795
704,A0,R7,-2678.0,-52.8,2.220058808536787
705,A0,R7,-2513.0,-64.9,2.008873969045473
706,A0,R7,-2348.0,-84.7,1.663298777150596
707,A0,R7,-2183.0,-99.3,1.408480706359424
708,A0,R7,-2018.0,-109.7,1.2269664641520137
709,A0,R7,-1853.0,-105.8,1.2950343049797925
660,A0,R7',-3343.0,164.8,2.876302607286655
661,A0,R7',-3101.0,179.4,3.1311206780778273
662,A0,R7',-2859.0,163.5,2.853613327010729
663,A0,R7',-2617.0,128.0,2.234021442552742
664,A0,R7',-2375.0,120.4,2.101376419401173
665,A0,R7',-2133.0,108.7,1.8971728969178363
666,A0,R7',-1891.0,108.7,1.8971728969178363
667,A0,R7',-1649.0,98.7,1.7226399717184033
668,A0,R7',-1407.0,106.7,1.8622663118779497
669,A0,R7',-1165.0,83.0,1.4486232791552935
710,A0,R8,-2484.0,11.1,0.19373154697137057
711,A0,R8,-2326.0,1.9,0.03316125578789226
712,A0,R8,-2168.0,1.9,0.03316125578789226
713,A0,R8,-2010.0,-1.4,3.1171580440618727
714,A0,R8,-1852.0,4.0,0.06981317007977318
715,A0,R8,-1694.0,-1.4,3.1171580440618727
716,A0,R8,-1536.0,-33.1,2.56388867117967
717,A0,R8,-1378.0,-47.4,2.314306588144481
718,A0,R8,-1220.0,-45.5,2.3474678439323733
719,A0,R8,-1062.0,-45.5,2.3474678439323733
2349,A1,R1,-2642.0,-37.5,2.4870941840919194
2350,A1,R1,-2515.0,-30.0,2.6179938779914944
2351,A1,R1,-2388.0,-20.9,2.7768188399229783
2352,A1,R1,-2261.0,-17.6,2.834414705238791
2353,A1,R1,-2134.0,-9.6,2.9740410453983377
2354,A1,R1,-2007.0,-9.6,2.9740410453983377
2355,A1,R1,-1880.0,-9.6,2.9740410453983377
2356,A1,R1,-1753.0,-5.9,3.038618227722128
2357,A1,R1,-1626.0,-0.3,3.13635666583381
2358,A1,R1,-1499.0,9.9,0.17278759594743864
2359,A1,R2,-2615.0,-58.5,2.1205750411731104
