0,lense diameter (stack),lense thickness,cone length (from the tip),cone width (under the lense tip),D rhabdom dist.,D rhabdom prox.,Mean Microv. Ang. Turn,rhabdom_len,radius_in,radius_out,f,f-image,P,F-number,rho_l,rho_rh,rho,S
E7,,,,,1.7827449999999998,1.247685,21.75185185185185,13.96,,,,,,,,,,
E6,6.980729999999999,2.96461,3.40063,5.523305000000001,2.262045,1.454785,18.094936708860757,13.352,1.883023538294217,1.8762367594239673,3.7178610589075767,5.011676707407414,0.2689718588606512,0.5325891502618748,4.103853000551685,34.86026764183395,35.100995278060594,0.42237353035754355
E5,,,,,2.417245,2.116145,30.106172839506176,11.088000000000001,,,,,,,,,,
E4,8.07757,2.65285,3.6752800000000003,6.701025,2.970095,2.2740050000000003,27.848148148148134,12.704,3.354192501349065,3.158780706663822,6.024347190591577,8.120820012917447,0.16599308910378427,0.7458118209550121,3.546597523332037,28.24769271576421,28.469466060267855,0.35461756146614704
D7,,,,,1.91754,1.261355,15.050617283950617,14.032,,,,,,,,,,
D6,,,,,1.980355,1.238485,7.805063291139242,13.976,,,,,,,,,,
D5,8.16472,3.5890500000000003,3.73574,6.450405000000001,2.444485,2.152785,24.836708860759494,13.52,2.39145206529649,2.5083521863639695,4.894379595143486,6.59762369425342,0.20431598746289792,0.5994546775815319,3.5087412374877713,28.61622619586191,28.830533584454876,0.39452082764999835
D4,,,,,2.9184449999999997,2.01803,30.33086419753087,13.792,,,,,,,,,,
D3,7.2377,2.80608,3.96908,6.6649400000000005,2.94944,2.04229,23.98888888888889,14.64,2.6989130247496713,4.511064300623111,7.6178621885335,10.268878230143159,0.13127042407057618,1.0525252757828454,3.958148273144944,22.1834498635893,22.533805395507,0.204435115434252
D2,7.33428,2.86169,3.75099,6.633139999999999,2.96895,2.206545,31.427160493827166,13.76,2.898221794086592,3.9892996450883844,7.083452868157463,9.54849446627626,0.1411740882042628,0.9658007150200787,3.9060261888748675,24.01488479581203,24.33046921751202,0.2305938082148638
C6,,,,,2.057105,1.238645,16.3,14.136000000000001,,,,,,,,,,
C5,8.13233,3.23753,3.33824,5.8997,2.25691,1.535085,16.734567901234566,12.888,2.7443552863033056,4.3556321187314095,7.524391571784535,10.142879838765554,0.13290111106788577,0.9252442500223842,3.522716092010674,17.18563109152522,17.542959974842024,0.13838738149537602
C4,,,,,2.701085,1.975225,23.85679012345679,13.312000000000001,,,,,,,,,,
C3,9.247620000000001,2.90973,4.53997,7.20132,2.84273,2.29271,32.95308641975309,14.592,3.3197961089611145,4.558439921953396,8.047701167854079,10.848301174267299,0.12425908705388103,0.8702456597323504,3.0978662354790916,20.238876655338775,20.474591656073102,0.2746677693905804
C2,7.20151,3.32981,4.34388,6.741675,2.837255,2.292015,42.77792207792207,15.68,3.035214822673561,4.879392664404375,8.359807497295447,11.269020506354265,0.11961997932649987,1.1608409204868768,3.978039294056547,19.445751227523175,19.848476954864243,0.16769946490677226
C1,6.65025,3.0165900000000003,5.12575,6.4344149999999996,2.57399,2.26634,39.908641975308655,15.584,3.695523153397425,4.01028120238122,7.448085927613259,10.040019830422674,0.13426268301934727,1.1199708172795397,4.30779139980319,19.800894477077865,20.264068911168632,0.14818643834784195
B6,6.24214,1.88634,2.6770300000000002,4.135775,1.84175,1.17054,15.412500000000003,14.192,1.059333055355864,2.995114801861301,4.350858864238945,5.864957748994098,0.22983967791263224,0.6970139830633316,4.589434033286848,24.25371753277448,24.68411875894102,0.17710628876118453
B5,6.79493,2.25333,2.36728,4.256575000000001,1.95538,1.243325,12.566666666666663,13.368,1.760006187131692,2.6576188568454038,4.682274712370749,6.31170631227577,0.2135714073670137,0.6890835832555668,4.216068415206803,23.927477182893625,24.29607781555697,0.1919548518544211
B4,8.2996,3.47576,4.51521,6.856025,2.355575,2.3490100000000003,33.77160493827161,13.224,1.7071813455980824,4.422943734985706,6.747144459006528,9.095150730740801,0.14821084772612728,0.8129481491886993,3.4517193306353513,20.00320382148769,20.298830741238806,0.19782671361345855
B3,7.64767,3.15637,4.37625,6.32609,2.8536149999999996,2.036835,38.65555555555555,14.88,3.0686184067263524,4.662385512650614,8.084388754934208,10.897756041651313,0.12369518961958159,1.0571048116529882,3.7459631177262045,20.224175359631744,20.568167362614027,0.19315478822977597
B2,7.86371,2.80015,4.7437,6.806415,3.097335,2.4500550000000003,26.40740740740741,15.184000000000001,3.077121723050729,4.829260869037996,8.244466085023845,11.113540282612144,0.12129348215968891,1.0484193955555132,3.6430501323854974,21.525253595319942,21.831361767189605,0.23457808549225534
B1,7.53576,3.53662,4.73075,6.4444300000000005,2.565815,2.16634,35.44938271604938,17.392,2.881323686139916,4.534761296184654,7.8736361372894335,10.613661513066157,0.1270061230368538,1.044836371817764,3.8015926404956053,18.671217204859165,19.054302887151216,0.18681318692157503
B0,7.12646,3.34552,5.0507100000000005,6.53127,2.5198149999999995,2.331355,33.44567901234569,17.064,3.4664646146047517,4.122335616473612,7.571807553834931,10.206796582569488,0.13206886108634985,1.062492114434787,4.019932723475774,19.06741073743155,19.48655976131219,0.17159782511325908
A5,5.70109,2.0000299999999998,2.9250599999999998,4.389600000000001,2.09813,1.241755,15.555000000000001,13.304,1.6415831189356431,2.029412584705493,3.750347522034166,5.055468459702056,0.266641956278656,0.6578299100758217,5.0249846532051174,32.05409449750941,32.44557666031242,0.23987075813909323
A4,8.632790000000002,3.4865999999999997,3.61063,5.875145000000001,2.14128,1.505155,35.80759493670886,12.096,3.5168164773002752,2.9635349887555895,5.83899738451171,7.870968474321785,0.17126227914616984,0.6763743105660752,3.3184972362980165,21.011536515019806,21.271979001243118,0.21567606333007483
A3,9.24715,3.4074,4.67152,6.78884,2.23684,2.3016900000000002,26.22839506172839,12.968,5.002570288740642,3.4092744517593943,6.807315072868693,9.176260718226999,0.14690079558468075,0.7361527684604114,3.0980236890870336,18.82702505674298,19.080215493158676,0.2129281367098803
A2,8.99115,3.0185999999999997,4.9891000000000005,7.01133,2.97781,2.3964600000000003,24.907407407407412,14.496,3.284144240950827,4.4974548335182885,7.964815017550862,10.736570643658563,0.12555219396765033,0.8858505327517462,3.1862319899613687,21.421206244701356,21.656873072350162,0.2886616663923931
A1,8.12567,3.2116700000000002,4.55839,6.733375,3.037035,2.222835,35.62750000000001,15.992,3.126401291262532,4.8357938000560505,8.34325108005537,11.24670245591464,0.11985735421417563,1.0267770017802065,3.525603397201851,20.856292836432193,21.15218263426671,0.24708041047743387
A0,7.772810000000001,3.53208,4.68667,6.591135,2.696265,1.842225,39.361728395061725,18.248,4.002226620824057,4.43359902136315,8.231131148941762,11.095564788773496,0.12148998502211514,1.0589646664387475,3.6856541915396313,18.768332341382056,19.126796535127916,0.2096254984232252
